Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
107	1	Kız çocuk 4 : Baba 5 : Anne Yakınlık kodunun	<<< üç ve dördüncü >>>	hanesi kişi sayısını tanımlar 0101 : Tek eş 0201 :	Kız_Noun çocuk_Noun 4_Num :_Punc Baba_Noun 5_Num :_Punc Anne_Noun Yakınlık_Noun kodunun_Noun	<<< üç_Adj ve_Conj dördüncü_Adj >>>	hanesi_Noun kişi_Noun sayısını_Noun tanımlar_Verb 0101_Num :_Punc Tek_Adj eş_Noun 0201_Num :_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=106&uT=y	152987548	152987550
108	1	Descartes , s . 180 [7] Ontolojik kanıt tartışması kitabın	<<< iki ve üçüncü >>>	bölümünde yer almaktadır KABUĞUNA SİNMİŞ ADAM Geç kalan avcılar ,	Descartes_Undef ,_Punc s_Undef ._Punc 180_Num [7]_Undef Ontolojik_Adj kanıt_Noun tartışması_Verb kitabın_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	bölümünde_Noun yer_Noun almaktadır_Verb KABUĞUNA_Noun SİNMİŞ_Verb ADAM_Noun Geç_Adj kalan_Verb avcılar_Noun ,_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=107&uT=y	155027611	155027613
109	1	daha Devlet hizmetinde kullanılmamalarına karar verilir . ( üç ,	<<< dört ve beşinci >>>	fıkralar Mülga : 22 / 7 / 1998 - 4369	daha_Adv Devlet_Noun hizmetinde_Noun kullanılmamalarına_Verb karar_Noun verilir_Verb ._Punc (_Punc üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkralar_Noun Mülga_Adj :_Punc 22_Num /_Punc 7_Num /_Punc 1998_Num -_Punc 4369_Num	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=108&uT=y	156376166	156376168
110	1	maddesinin 22 / 7 / 1998 4369 82 üç ,	<<< dört ve beşinci >>>	fıkraları 6183 Sayılı Kanunun Çeşitli Maddelerindeki Oran ve Miktarlarda ÇEŞİTLİ	maddesinin_Noun 22_Num /_Punc 7_Num /_Punc 1998_Num 4369_Num 82_Num üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkraları_Noun 6183_Num Sayılı_Adj Kanunun_Noun Çeşitli_Noun Maddelerindeki_Noun Oran_Noun ve_Conj Miktarlarda_Noun ÇEŞİTLİ_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=109&uT=y	156378955	156378957
111	1	malı kullanım kılavuzunda yeralan hususlara aykırı kullanılmasından kaynaklanan arızalar ,	<<< iki ve üçüncü >>>	fıkra hükümleri kapsamı dışındadır . Bakanlık , hangi sanayi mallarının	malı_Noun kullanım_Noun kılavuzunda_Noun yeralan_Undef hususlara_Noun aykırı_Adj kullanılmasından_Verb kaynaklanan_Verb arızalar_Noun ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkra_Noun hükümleri_Noun kapsamı_Noun dışındadır_Noun ._Punc Bakanlık_Noun ,_Punc hangi_Adj sanayi_Noun mallarının_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=110&uT=y	156488485	156488487
112	1	, 10 uncu maddenin birinci fıkrasına ve 12 nci maddenin	<<< bir ve ikinci >>>	fıkralarına aykırı hareket edenler hakkında 5.000.000 lira para cezası uygulanır	,_Punc 10_Num uncu_Noun maddenin_Noun birinci_Adj fıkrasına_Noun ve_Conj 12_Num nci_Undef maddenin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkralarına_Noun aykırı_Adj hareket_Noun edenler_Verb hakkında_Noun 5.000.000_Undef lira_Noun para_Noun cezası_Noun uygulanır_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=111&uT=y	156490062	156490064
113	1	. 8 inci maddenin ikinci fıkrasına , 13 üncü maddenin	<<< bir ve ikinci >>>	fıkralarına , 14 üncü maddenin birinci fıkrasına , 15 inci	._Punc 8_Num inci_Noun maddenin_Noun ikinci_Adj fıkrasına_Noun ,_Punc 13_Num üncü_Noun maddenin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkralarına_Noun ,_Punc 14_Num üncü_Noun maddenin_Noun birinci_Adj fıkrasına_Noun ,_Punc 15_Num inci_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=112&uT=y	156490085	156490087
114	1	maddenin ; a ) Birinci fıkrasında düzenlenen 12 nci maddenin	<<< bir ve ikinci >>>	fıkralarına aykırılık halinde öngörülen cezalar belediye encümenlerince , b )	maddenin_Noun ;_Punc a_Interj )_Punc Birinci_Adj fıkrasında_Noun düzenlenen_Verb 12_Num nci_Undef maddenin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkralarına_Noun aykırılık_Adj halinde_Noun öngörülen_Verb cezalar_Noun belediye_Noun encümenlerince_Noun ,_Punc b_Undef )_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=113&uT=y	156490534	156490536
115	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=114&uT=y	158846566	158846568
116	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=115&uT=y	159474168	159474170
117	1	göre , genç kızlar ve erkekler dini bayramların iki ,	<<< üç ve dördüncü >>>	gününde sabahtan akşama kadar köy meydanında volta atıyorlar . Yol	göre_Postp ,_Punc genç_Adj kızlar_Noun ve_Conj erkekler_Noun dini_Noun bayramların_Noun iki_Adj ,_Punc	<<< üç_Adj ve_Conj dördüncü_Adj >>>	gününde_Noun sabahtan_Noun akşama_Noun kadar_Postp köy_Noun meydanında_Noun volta_Noun atıyorlar_Verb ._Punc Yol_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=116&uT=y	163202367	163202369
118	1	Bayram süresince hava sıcaklığının mevsim normallerinde seyredeceği , bir ,	<<< iki ve üçüncü >>>	gün Marmara ile yurdun iç ve doğu bölgelerinde yoğun sis	Bayram_Noun süresince_Noun hava_Noun sıcaklığının_Adj mevsim_Noun normallerinde_Adj seyredeceği_Verb ,_Punc bir_Det ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	gün_Noun Marmara_Noun ile_Postp yurdun_Noun iç_Noun ve_Conj doğu_Noun bölgelerinde_Noun yoğun_Adj sis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=117&uT=y	164449361	164449363
119	1	konulan İstanbul Vilayeti ve Emniyeti Umumiye Müdüriyeti Teşkilatına dair kanunun	<<< dört ve beşinci >>>	maddeleri değiştirilmiş , Emniyeti Umumiye Müdüriyeti ile İstanbul Valiliği arasında	konulan_Verb İstanbul_Noun Vilayeti_Noun ve_Conj Emniyeti_Noun Umumiye_Adj Müdüriyeti_Noun Teşkilatına_Noun dair_Postp kanunun_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	maddeleri_Noun değiştirilmiş_Verb ,_Punc Emniyeti_Noun Umumiye_Adj Müdüriyeti_Noun ile_Postp İstanbul_Noun Valiliği_Noun arasında_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=118&uT=y	166948221	166948223
120	1	bir köprü yapılmalı . en üst katı raylı sistem ,	<<< bir ve ikinci >>>	katı altı şeritli olarak inşa edilmeli . bir ve ikinci	bir_Det köprü_Noun yapılmalı_Verb ._Punc en_Adv üst_Noun katı_Noun raylı_Noun sistem_Noun ,_Punc	<<< bir_Det ve_Conj ikinci_Adj >>>	katı_Noun altı_Adj şeritli_Noun olarak_Verb inşa_Noun edilmeli_Verb ._Punc bir_Det ve_Conj ikinci_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=119&uT=y	167149304	167149306
121	1	bir ve ikinci katı altı şeritli olarak inşa edilmeli .	<<< bir ve ikinci >>>	kat biri gidiş biri geliş olmalı . mecidiyeköyde mevcut yol	bir_Det ve_Conj ikinci_Adj katı_Noun altı_Adj şeritli_Noun olarak_Verb inşa_Noun edilmeli_Verb ._Punc	<<< bir_Det ve_Conj ikinci_Adj >>>	kat_Noun biri_Pron gidiş_Verb biri_Pron geliş_Verb olmalı_Verb ._Punc mecidiyeköyde_Undef mevcut_Adj yol_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=120&uT=y	167149314	167149316
122	1	, 4388 sayılı kanunla yapılan değişiklikle , daha önceki maddenin	<<< üç ve dördüncü >>>	fıkralarının birleştirilmesiyle yeniden düzenlenmiştir . Buna göre , DGM başkanı	,_Punc 4388_Num sayılı_Adj kanunla_Noun yapılan_Verb değişiklikle_Adj ,_Punc daha_Adv önceki_Noun maddenin_Noun	<<< üç_Adj ve_Conj dördüncü_Adj >>>	fıkralarının_Noun birleştirilmesiyle_Verb yeniden_Adv düzenlenmiştir_Verb ._Punc Buna_Pron göre_Postp ,_Punc DGM_Noun başkanı_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=121&uT=y	167341701	167341703
123	1	mali ve sosyal haklarıyla durumlarına uygun işlerde görevlendirebilir . Yukarıdaki	<<< iki ve üçüncü >>>	fıkrada sayılanların bakanlığın merkez veya taşra teşkilatında durumlarına uygun kadrolara	mali_Adj ve_Conj sosyal_Adj haklarıyla_Noun durumlarına_Noun uygun_Adj işlerde_Noun görevlendirebilir_Noun ._Punc Yukarıdaki_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkrada_Noun sayılanların_Verb bakanlığın_Noun merkez_Noun veya_Conj taşra_Noun teşkilatında_Noun durumlarına_Noun uygun_Adj kadrolara_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=122&uT=y	170295018	170295020
124	1	, 647 sayılı Cezaların İnfazı Hakkında Kanunun 19 uncu maddesinin	<<< bir ve ikinci >>>	fıkraları ile Ek 2 nci maddesi hükümleri uygulanmaz . Ceza	,_Punc 647_Num sayılı_Adj Cezaların_Noun İnfazı_Noun Hakkında_Noun Kanunun_Noun 19_Num uncu_Noun maddesinin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkraları_Noun ile_Postp Ek_Noun 2_Num nci_Undef maddesi_Noun hükümleri_Noun uygulanmaz_Verb ._Punc Ceza_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=123&uT=y	170319961	170319963
125	1	ileri gelen hastalık ve arızalarda yapılacak sağlık yardımları bu maddenin	<<< iki ve üçüncü >>>	paragraflarında yazılı yardımlardır . Sağlık yardımları en az şunlardır :	ileri_Noun gelen_Verb hastalık_Noun ve_Conj arızalarda_Noun yapılacak_Verb sağlık_Noun yardımları_Noun bu_Det maddenin_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	paragraflarında_Noun yazılı_Noun yardımlardır_Noun ._Punc Sağlık_Noun yardımları_Noun en_Adv az_Adj şunlardır_Pron :_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=124&uT=y	170353771	170353773
126	1	Kurum arşivinde yapılacak ayıklama ve imha işlemleri , bu Yönergenin	<<< dört ve beşinci >>>	bölümündeki hükümlere göre yapılır . Damgalama Ayıklama ve imha işlemlerini	Kurum_Noun arşivinde_Noun yapılacak_Verb ayıklama_Verb ve_Conj imha_Noun işlemleri_Noun ,_Punc bu_Det Yönergenin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	bölümündeki_Noun hükümlere_Noun göre_Postp yapılır_Verb ._Punc Damgalama_Verb Ayıklama_Verb ve_Conj imha_Noun işlemlerini_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=125&uT=y	170453022	170453024
127	1	maddesine aykırı olarak bölen veya izin ücretini 57 nci maddenin	<<< üç ve dördüncü >>>	fıkralarında belirtilen usule aykırı olarak ödeyen veya eksik ödeyen veya	maddesine_Noun aykırı_Adj olarak_Verb bölen_Verb veya_Conj izin_Noun ücretini_Noun 57_Num nci_Undef maddenin_Noun	<<< üç_Adj ve_Conj dördüncü_Adj >>>	fıkralarında_Noun belirtilen_Verb usule_Noun aykırı_Adj olarak_Verb ödeyen_Verb veya_Conj eksik_Noun ödeyen_Verb veya_Conj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=126&uT=y	170520465	170520467
128	1	infazı Madde 50 — 5275 sayılı Kanunun 108 inci maddesinin	<<< dört ve altıncı >>>	fıkraları gereğince haklarında denetimli serbestlik tedbirine hükmedilen hükümlüler hakkında verilen	infazı_Noun Madde_Noun 50_Num —_Punc 5275_Num sayılı_Adj Kanunun_Noun 108_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj altıncı_Adj >>>	fıkraları_Noun gereğince_Adv haklarında_Noun denetimli_Noun serbestlik_Adj tedbirine_Noun hükmedilen_Verb hükümlüler_Noun hakkında_Noun verilen_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=127&uT=y	170622544	170622546
129	1	Türkiye Barolar Birliğine gönderilir . Avukatlık Kanununun 22 nci maddesinin	<<< iki ve üçüncü >>>	fıkralarında yazılı hallerde , adayın yanında staj yapacağı avukatın yazılı	Türkiye_Noun Barolar_Noun Birliğine_Noun gönderilir_Verb ._Punc Avukatlık_Noun Kanununun_Noun 22_Num nci_Undef maddesinin_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkralarında_Noun yazılı_Noun hallerde_Noun ,_Punc adayın_Noun yanında_Noun staj_Noun yapacağı_Verb avukatın_Noun yazılı_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=128&uT=y	172726024	172726026
130	1	konulan İstanbul Vilayeti ve Emniyeti Umumiye Müdüriyeti Teşkilatına dair kanunun	<<< dört ve beşinci >>>	maddeleri değiştirilmiş , Emniyeti Umumiye Müdüriyeti ile İstanbul Valiliği arasında	konulan_Verb İstanbul_Noun Vilayeti_Noun ve_Conj Emniyeti_Noun Umumiye_Adj Müdüriyeti_Noun Teşkilatına_Noun dair_Postp kanunun_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	maddeleri_Noun değiştirilmiş_Verb ,_Punc Emniyeti_Noun Umumiye_Adj Müdüriyeti_Noun ile_Postp İstanbul_Noun Valiliği_Noun arasında_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=129&uT=y	172764667	172764669
131	1	bir köprü yapılmalı . en üst katı raylı sistem ,	<<< bir ve ikinci >>>	katı altı şeritli olarak inşa edilmeli . bir ve ikinci	bir_Det köprü_Noun yapılmalı_Verb ._Punc en_Adv üst_Noun katı_Noun raylı_Noun sistem_Noun ,_Punc	<<< bir_Det ve_Conj ikinci_Adj >>>	katı_Noun altı_Adj şeritli_Noun olarak_Verb inşa_Noun edilmeli_Verb ._Punc bir_Det ve_Conj ikinci_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=130&uT=y	173018643	173018645
132	1	bir ve ikinci katı altı şeritli olarak inşa edilmeli .	<<< bir ve ikinci >>>	kat biri gidiş biri geliş olmalı . mecidiyeköyde mevcut yol	bir_Det ve_Conj ikinci_Adj katı_Noun altı_Adj şeritli_Noun olarak_Verb inşa_Noun edilmeli_Verb ._Punc	<<< bir_Det ve_Conj ikinci_Adj >>>	kat_Noun biri_Pron gidiş_Verb biri_Pron geliş_Verb olmalı_Verb ._Punc mecidiyeköyde_Undef mevcut_Adj yol_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=131&uT=y	173018653	173018655
133	1	, 647 sayılı Cezaların İnfazı Hakkında Kanunun 19 uncu maddesinin	<<< bir ve ikinci >>>	fıkraları ile Ek 2 nci maddesi hükümleri uygulanmaz . Ceza	,_Punc 647_Num sayılı_Adj Cezaların_Noun İnfazı_Noun Hakkında_Noun Kanunun_Noun 19_Num uncu_Noun maddesinin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkraları_Noun ile_Postp Ek_Noun 2_Num nci_Undef maddesi_Noun hükümleri_Noun uygulanmaz_Verb ._Punc Ceza_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=132&uT=y	173115220	173115222
134	1	Adlî para cezasının hapse çevrileceği mahkeme ilâmında yazılı olmasa bile	<<< dört ve beşinci >>>	fıkra hükümleri Cumhuriyet başsavcılığınca uygulanır . ( 7 ) Adlî	Adlî_Undef para_Noun cezasının_Noun hapse_Noun çevrileceği_Verb mahkeme_Noun ilâmında_Undef yazılı_Noun olmasa_Verb bile_Adv	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkra_Noun hükümleri_Noun Cumhuriyet_Noun başsavcılığınca_Noun uygulanır_Verb ._Punc (_Punc 7_Num )_Punc Adlî_Undef	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=133&uT=y	173492332	173492334
135	1	4 ) Mükerrirler hakkında 5275 sayılı Kanunun 108 inci maddesinin	<<< dört ve altıncı >>>	fıkralarına göre mahkemece hükmedilen mükerrirlere özgü denetimli serbestlik tedbiri aynı	4_Num )_Punc Mükerrirler_Undef hakkında_Noun 5275_Num sayılı_Adj Kanunun_Noun 108_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj altıncı_Adj >>>	fıkralarına_Noun göre_Postp mahkemece_Noun hükmedilen_Verb mükerrirlere_Undef özgü_Adj denetimli_Noun serbestlik_Adj tedbiri_Noun aynı_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=134&uT=y	173511448	173511450
136	1	Bayram süresince hava sıcaklığının mevsim normallerinde seyredeceği , bir ,	<<< iki ve üçüncü >>>	gün Marmara ile yurdun iç ve doğu bölgelerinde yoğun sis	Bayram_Noun süresince_Noun hava_Noun sıcaklığının_Adj mevsim_Noun normallerinde_Adj seyredeceği_Verb ,_Punc bir_Det ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	gün_Noun Marmara_Noun ile_Postp yurdun_Noun iç_Noun ve_Conj doğu_Noun bölgelerinde_Noun yoğun_Adj sis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=135&uT=y	174269034	174269036
137	1	tahsil dairesine ödemek zorunda kalacağı ve bu maddenin üç ,	<<< dört ve beşinci >>>	fıkra hükümleri üçüncü şahsa bildirilir . Tahsil dairelerince düzenlenen haciz	tahsil_Noun dairesine_Noun ödemek_Verb zorunda_Adj kalacağı_Verb ve_Conj bu_Det maddenin_Noun üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkra_Noun hükümleri_Noun üçüncü_Adj şahsa_Noun bildirilir_Verb ._Punc Tahsil_Noun dairelerince_Noun düzenlenen_Verb haciz_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=136&uT=y	175033182	175033184
138	1	31.8.1956 tarihli ve 6831 sayılı Orman Kanununun 110 uncu maddesinin	<<< dört ve beşinci >>>	fıkralarında tanımlanan kasten orman yakma suçları . ( 4 )	31.8.1956_Num tarihli_Noun ve_Conj 6831_Num sayılı_Adj Orman_Noun Kanununun_Noun 110_Num uncu_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkralarında_Noun tanımlanan_Verb kasten_Adv orman_Noun yakma_Verb suçları_Noun ._Punc (_Punc 4_Num )_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=137&uT=y	178884063	178884065
139	1	. Zamanın dört daire başkanı ; iki , üç ,	<<< beş ve sekizinci >>>	Şube Müdürleri ile Hukuk İşleri Müdürü kurulun tabii üyesi olarak	._Punc Zamanın_Noun dört_Adj daire_Noun başkanı_Noun ;_Punc iki_Adj ,_Punc üç_Adj ,_Punc	<<< beş_Adj ve_Conj sekizinci_Adj >>>	Şube_Noun Müdürleri_Noun ile_Postp Hukuk_Noun İşleri_Noun Müdürü_Noun kurulun_Noun tabii_Adj üyesi_Noun olarak_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=138&uT=y	178907713	178907715
140	1	Tüm Ege'de düşüş var . Bugüne kadarki ÖSS sisteminde lise	<<< bir ve ikinci >>>	sınıfın yarısından soru çıkıyordu . Sistem böyleydi . Yani soruların	Tüm_Det Ege'de_Noun düşüş_Verb var_Adj ._Punc Bugüne_Noun kadarki_Undef ÖSS_Noun sisteminde_Noun lise_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	sınıfın_Noun yarısından_Noun soru_Noun çıkıyordu_Verb ._Punc Sistem_Noun böyleydi_Adj ._Punc Yani_Conj soruların_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=139&uT=y	180932593	180932595
141	1	. Komisyondaki görüşmeler sırasında AK Partili vekiller , Bir binanın	<<< bir ve ikinci >>>	katlarına elektrik bağlanıyor , diğer kata bağlanmıyor . Bu sorunların	._Punc Komisyondaki_Noun görüşmeler_Noun sırasında_Noun AK_Adj Partili_Adj vekiller_Noun ,_Punc Bir_Det binanın_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	katlarına_Noun elektrik_Noun bağlanıyor_Verb ,_Punc diğer_Adj kata_Noun bağlanmıyor_Verb ._Punc Bu_Det sorunların_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=140&uT=y	181050622	181050624
142	1	4046 sayılı Kanunun 22 nci maddesinin iki , üç ,	<<< dört ve beşinci >>>	fıkralarında belirtilen esas ve usuller çerçevesinde diğer kamu kurum ve	4046_Num sayılı_Adj Kanunun_Noun 22_Num nci_Undef maddesinin_Noun iki_Adj ,_Punc üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkralarında_Noun belirtilen_Verb esas_Noun ve_Conj usuller_Noun çerçevesinde_Noun diğer_Adj kamu_Noun kurum_Noun ve_Conj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=141&uT=y	182002632	182002634
143	1	tahsil dairesine ödemek zorunda kalacağı ve bu maddenin üç ,	<<< dört ve beşinci >>>	fıkra hükümleri üçüncü şahsa bildirilir . Tahsil dairelerince düzenlenen haciz	tahsil_Noun dairesine_Noun ödemek_Verb zorunda_Adj kalacağı_Verb ve_Conj bu_Det maddenin_Noun üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkra_Noun hükümleri_Noun üçüncü_Adj şahsa_Noun bildirilir_Verb ._Punc Tahsil_Noun dairelerince_Noun düzenlenen_Verb haciz_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=142&uT=y	183350126	183350128
144	1	ödemek zorunda kalacağı hususları ile 79 uncu maddenin üç ,	<<< dört ve beşinci >>>	fıkra hükümlerinin üçüncü şahıslara bildirilmesi gerekmektedir . Haciz bildirisini alan	ödemek_Verb zorunda_Adj kalacağı_Verb hususları_Noun ile_Postp 79_Num uncu_Noun maddenin_Noun üç_Adj ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkra_Noun hükümlerinin_Noun üçüncü_Adj şahıslara_Noun bildirilmesi_Verb gerekmektedir_Verb ._Punc Haciz_Noun bildirisini_Noun alan_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=143&uT=y	183350698	183350700
145	1	nedenlerle görevi sona erenler ile son verilerin yerlerine bu maddenin	<<< iki ve üçüncü >>>	fıkra hükümlerine göre yeni üye görevlendirilir . Bu suretle boşalan	nedenlerle_Noun görevi_Noun sona_Noun erenler_Noun ile_Postp son_Adj verilerin_Noun yerlerine_Noun bu_Det maddenin_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkra_Noun hükümlerine_Noun göre_Postp yeni_Adj üye_Noun görevlendirilir_Noun ._Punc Bu_Det suretle_Noun boşalan_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=144&uT=y	184115258	184115260
146	1	malı kullanım kılavuzunda yeralan hususlara aykırı kullanılmasından kaynaklanan arızalar ,	<<< iki ve üçüncü >>>	fıkra hükümleri kapsamı dışındadır . Bakanlık , hangi sanayi mallarının	malı_Noun kullanım_Noun kılavuzunda_Noun yeralan_Undef hususlara_Noun aykırı_Adj kullanılmasından_Verb kaynaklanan_Verb arızalar_Noun ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkra_Noun hükümleri_Noun kapsamı_Noun dışındadır_Noun ._Punc Bakanlık_Noun ,_Punc hangi_Adj sanayi_Noun mallarının_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=145&uT=y	184131899	184131901
147	1	, 10 uncu maddenin birinci fıkrasına ve 12 nci maddenin	<<< bir ve ikinci >>>	fıkralarına aykırı hareket edenler hakkında 5.000.000 lira para cezası uygulanır	,_Punc 10_Num uncu_Noun maddenin_Noun birinci_Adj fıkrasına_Noun ve_Conj 12_Num nci_Undef maddenin_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkralarına_Noun aykırı_Adj hareket_Noun edenler_Verb hakkında_Noun 5.000.000_Undef lira_Noun para_Noun cezası_Noun uygulanır_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=146&uT=y	184133466	184133468
